Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта;Количество отзывов
Властелин колец 3: Возвращение Короля;Питер Джексон;США, Новая Зеландия;боевик, приключения, фэнтези;2003;1;9.43;3
Терминатор 2: Судный день;Джеймс Кэмерон;США;боевик, триллер, фантастика;1991;2;9.4;3
Побег из Шоушенка;Фрэнк Дарабонт;США;драма;1994;3;9.38;4
Форрест Гамп;Роберт Земекис;США;драма, комедия, мелодрама;1994;4;9.37;1
Властелин колец 2: Две крепости;Питер Джексон;США, Новая Зеландия;боевик, приключения, фэнтези;2002;5;9.36;1
Властелин колец: Братство кольца;Питер Джексон;США, Новая Зеландия;боевик, приключения, фэнтези;2001;6;9.29;4
Они сражались за Родину;Сергей Бондарчук;СССР;военный, драма, исторический;1975;7;9.2;1
Список Шиндлера;Стивен Спилберг;США;биографический, военный, драма, исторический;1993;8;9.17;6
Титаник;Джеймс Кэмерон;США;драма, исторический, мелодрама;1997;9;9.14;2
Зеленая миля;Фрэнк Дарабонт;США;драма, криминал, фэнтези;1999;10;9.13;2
Крестный отец;Френсис Форд Коппола;США;драма, триллер;1972;11;9.12;0
12 разгневанных мужчин;Сидни Люмет;США;детектив, драма;1957;12;9.12;0
Шерлок Холмс и доктор Ватсон: Охота на тигра;Игорь Масленников;СССР;детектив, криминал;1980;13;9.12;0
Назад в будущее;Роберт Земекис;США;боевик, комедия, приключения, фантастика;1985;14;9.11;2
Шерлок Холмс и доктор Ватсон: Собака Баскервилей;Игорь Масленников;СССР;детектив, криминал, приключения;1981;15;9.11;0
Шерлок Холмс и доктор Ватсон: Знакомство;Игорь Масленников;СССР;детектив, криминал, приключения;1979;16;9.11;0
Матрица;Лана Вачовски, Лилли Вачовски;США;боевик, приключения, триллер, фантастика;1999;17;9.1;1
Иван Васильевич меняет профессию;Леонид Гайдай;СССР;комедия, приключения, семейный, фантастика;1973;18;9.1;1
Кавказская пленница, или новые приключения Шурика;Леонид Гайдай;СССР;комедия, мелодрама, музыка, приключения, семейный;1966;19;9.1;0
Темный рыцарь;Кристофер Нолан;США;боевик, драма, кинокомикс, криминал, триллер;2008;20;9.08;5
Гладиатор;Ридли Скотт;США, Великобритания;боевик, драма, исторический, приключения;2000;21;9.08;3
Храброе сердце;Мел Гибсон;США;биографический, боевик, военный, драма, исторический;1995;22;9.06;2
Пролетая над гнездом кукушки;Милош Форман;США;драма;1975;23;9.06;0
Бриллиантовая рука;Леонид Гайдай;СССР;комедия, криминал, приключения, семейный;1968;24;9.05;0
Молчание ягнят;Джонатан Демме;США;детектив, драма, криминал, триллер;1991;25;9.05;2
Джентльмены удачи;Александр Серый;СССР;детектив, драма, комедия, криминал;1971;26;9.03;1
Аватар;Джеймс Кэмерон;США;боевик, драма, приключения, фантастика;2009;27;9.01;6
Назад в будущее 2;Роберт Земекис;США;боевик, комедия, приключения, семейный, триллер, фантастика;1989;28;9.01;1
"В бой идут одни ""старики""";Леонид Быков;СССР;военный, драма, комедия;1973;29;9.01;0
Пираты Карибского моря: Проклятие Черной жемчужины;Гор Вербински;США;боевик, драма, комедия, мелодрама, приключения, семейный, фэнтези;2003;30;9.0;2
